INDIVIDUAL PATRÍCIO, José P295a  2004 Coleção Bibliográfica 
COLETIVO Kunsthistorisches Museum Vienna K95  1999 Coleção Bibliográfica 
INDIVIDUAL LEMOS, Fernando L557l  2012 Coleção Bibliográfica
INDIVIDUAL MIRANDA, Laura M672l  2000 Coleção Bibliográfica 
INDIVIDUAL MARIMBA, Sergio M336l  2011 Coleção Bibliográfica 
INDIVIDUAL BAKKER, Claudia B167l  2013 Coleção Bibliográfica 
COLETIVO Fundação de Cultura Cidade do Recife F981l  2007 Coleção Bibliográfica 
INDIVIDUAL ALMEIDA, Paulo Humberto de A447l  1996 Coleção Bibliográfica 
COLETIVO Centro Cultural São Paulo C397l  1999 Coleção Bibliográfica 
INDIVIDUAL  ANDRADE, Farnese de A553l  2012 Coleção Bibliográfica 
INDIVIDUAL  BOURGEOIS, Louise B772l  1997 Coleção Bibliográfica
INDIVIDUAL FABRO, Luciano F131l  1996 Coleção Bibliográfica 
INDIVIDUAL ALBUQUERQUE, Lucílo de A345l  2006 Coleção Bibliográfica
COLETIVO  Serviço Social do Comércio. SESC S491l  2012 Coleção Bibliográfica 
COLETIVO Caixa Cultural C138m  2010 Coleção Bibliográfica
INDIVIDUAL GRASSMANN, Marcello G769s  2011 Coleção Bibliográfica 
INDIVIDUAL CARDOSO, Marcos C268m  2001 Coleção Bibliográfica 
INDIVIDUAL VILLANI, Julio V716m  2012 Coleção Bibliográfica 
INDIVIDUAL CHEVALIER, Miguel C527m  2011 Coleção Bibliográfica
INDIVIDUAL DACOSTA, Milton D118m  2012 Coleção Bibliográfica
INDIVIDUAL SCHENDEL, Maria S324m  1997 Coleção Bibliográfica
INDIVIDUAL MIRÓ, Joan M676m  2005 Coleção Bibliográfica 
COLETIVO Serviço Social do Comércio. SESC S491m  200? Coleção Bibliográfica
COLETIVO Caixa Cultural C138m  2012 Coleção Bibliográfica 
INDIVIDUAL VERGARA, Carlos V494m  1997 Coleção Bibliográfica 
INDIVIDUAL MORANDI, Giorgio M829g  2012 Coleção Bibliográfica 
COLETIVO  Serviço Social do Comércio. SESC S491m  2001 Coleção Bibliográfica
COLETIVO Museu de Arte Moderna do Rio de Janeiro M986a  2002 Coleção Bibliográfica 
INDIVIDUAL Museu de Arte Moderna do Rio de Janeiro M986h  2002 Coleção Bibliográfica 
COLETIVO Museu de Arte Moderna do Rio de Janeiro M986v  2002 Coleção Bibliográfica
COLETIVO Centro Cultural Banco do Brasil C397m  2003 Coleção Bibliográfica
COLETIVO OI Futuro O39m  2012
COLETIVO  Museu Oscar Niemeyer M986m  200-? Coleção Bibliográfica 
COLETIVO Bienal Naïfs do Brasil S491n  2008 Coleção Bibliográfica 
COLETIVO Centro Cultural Banco do Nordeste C397n  2012 Coleção Bibliográfica 
INDIVIDUAL PEZZIN, Nelma P522n  2008 Coleção Bibliográfica 
INDIVIDUAL NEMER, José Alberto N433n  [1999] Coleção Bibliográfica
COLETIVO Universidade Federal do Rio Grande do Sul U58n  2012 Coleção Bibliográfica 
INDIVIDUAL BELLAVINHA, Niura B425n  1991 Coleção Bibliográfica 
INDIVIDUAL VERGER, Pierre V496b  2006 Coleção Bibliográfica
COLETIVO Banco Real B213b  1999 Coleção Bibliográfica 
COLETIVO Museu Nacional de Belas Artes M986b  2000 Coleção Bibliográfica 
COLETIVO Caixa Cultural C133  2007 Coleção Bibliográfica 
INDIVIDUAL ZARIF, Fernando Z37c  1995 Coleção Bibliográfica 
COLETIVO  Pinacoteca do Estado P645m  2012 Coleção Bibliográfica 
COLETIVO  Galeria Espaço Universitário - UFES G154o  2011 Coleção Bibliográfica 
INDIVIDUAL VIEIRA, Mary V658t  2005 Coleção Bibliográfica
COLETIVO Santander Cultural S232t  2012 Coleção Bibliográfica 
INDIVIDUAL ANDRADE, Farnese de A553o  1992 Coleção Bibliográfica
COLETIVO Manuel, Antonio M294o  2002 Coleção Bibliográfica 
COLETIVO Universidade Federal do Espírito Santo U58e  2009 Coleção Bibliográfica 
INDIVIDUAL DUARTE, Oriana D812p  2011 Coleção Bibliográfica 
INDIVIDUAL PINHEIRO, Osmar P654p  1993 Coleção Bibliográfica 
INDIVIDUAL GOELDI, Oswaldo G595o  1992 Coleção Bibliográfica 
INDIVIDUAL  GOELDI, Oswaldo G595o  2012 Coleção Bibliográfica
COLETIVO Museu de Arte Moderna do Rio de Janeiro M986p  2002 Coleção Bibliográfica
INDIVIDUAL GOYANNA, Sylvia G724p  2001 Coleção Bibliográfica 
